Plate,Well,Buffer,Temperature,Time_Factor,Time_Cont,Extraction,Technical_rep,PCR_rep,qs_conc_pg/mL,qs_conc_adjusted,Eamc_sample,Cq_sample,No_standard,Eamc_standard,Cq_standard,No_sample_ng/ul,No_sample_pg/mL
2 eDNA Pres I,G4,Ethanol,-20,2 weeks,2,Kit,3,3,35390.51488,35390.51488,1.8,28.166,1.14,1.813,22.66,0.052820671,52820.67095
2 eDNA Pres I,G5,Ethanol,-20,2 weeks,2,Kit,3,4,39741.65022,39741.65022,1.741,27.901,1.14,1.813,22.66,0.15540498,155404.9798
2 eDNA Pres I,G6,Ethanol,-20,2 weeks,2,Kit,3,5,36573.36533,36573.36533,1.627,27.773,1.14,1.813,22.66,1.092005847,1092005.847
2 eDNA Pres I,G7,Ethanol,-20,2 weeks,2,Kit,3,6,35195.43633,35195.43633,1.751,28.087,1.14,1.813,22.66,0.120813189,120813.1892
2 eDNA Pres I,G8,Ethanol,-20,2 weeks,2,Kit,3,7,36885.4478,36885.4478,1.743,27.995,1.14,1.813,22.66,0.142892236,142892.2356
2 eDNA Pres I,H1,Ethanol,-20,2 weeks,2,Kit,3,8,47017.19433,47017.19433,1.83,27.732,1.14,1.813,22.66,0.043310473,43310.47285
2 eDNA Pres I,H2,Ethanol,-20,2 weeks,2,Kit,3,9,45607.58919,45607.58919,1.795,27.709,1.14,1.813,22.66,0.074451006,74451.00619
Plate 56_eDNA reps J,G4,Ethanol,-20,2 weeks,2,Kit,4,1,44411.54003,44411.54003,1.771,27.378,1.14,1.827,22.349,0.129636681,129636.6815
Plate 56_eDNA reps J,G5,Ethanol,-20,2 weeks,2,Kit,4,2,46271.33533,46271.33533,1.813,27.37,1.14,1.827,22.349,0.06867713,68677.13009
Plate 56_eDNA reps J,G6,Ethanol,-20,2 weeks,2,Kit,4,3,49902.36089,49902.36089,1.79,27.232,1.14,1.827,22.349,0.104656916,104656.9156
Plate 56_eDNA reps J,G7,Ethanol,-20,2 weeks,2,Kit,4,4,47481.76038,47481.76038,1.782,27.296,1.14,1.827,22.349,0.114192611,114192.6105
Plate 56_eDNA reps J,G8,Ethanol,-20,2 weeks,2,Kit,4,5,46283.84486,46283.84486,1.791,27.332,1.14,1.827,22.349,0.097195092,97195.09181
Plate 56_eDNA reps J,G9,Ethanol,-20,2 weeks,2,Kit,4,6,46636.50319,46636.50319,1.805,27.346,1.14,1.827,22.349,0.078167552,78167.55231
Plate 56_eDNA reps J,G10,Ethanol,-20,2 weeks,2,Kit,4,7,54376.78471,54376.78471,1.835,27.185,1.14,1.827,22.349,0.055056025,55056.02485
Plate 56_eDNA reps J,G11,Ethanol,-20,2 weeks,2,Kit,4,8,50924.91582,50924.91582,1.786,27.188,1.14,1.827,22.349,0.115227377,115227.3768
Plate 56_eDNA reps J,G12,Ethanol,-20,2 weeks,2,Kit,4,9,50318.05858,50318.05858,1.858,27.355,1.14,1.827,22.349,0.035172773,35172.77275
